 

stn;time;rre150z0;rco150z0
OBR;202306141350;0.0;0
OBR;202306141400;0.0;0
OBR;202306141410;0.0;0
OBR;202306141420;0.0;0
OBR;202306141430;0.0;0
OBR;202306141440;0.0;0
OBR;202306141450;0.0;0
OBR;202306141500;0.0;0
OBR;202306141510;0.0;0
OBR;202306141520;0.0;0
OBR;202306141530;0.0;0
OBR;202306141540;0.0;0
OBR;202306141550;0.0;0
OBR;202306141600;0.0;0
OBR;202306141610;0.0;0
OBR;202306141620;0.0;0
OBR;202306141630;0.0;0
OBR;202306141640;0.0;0
OBR;202306141650;0.0;0
OBR;202306141700;0.0;0
OBR;202306141710;0.0;0
OBR;202306141720;0.0;0
OBR;202306141730;0.0;0
OBR;202306141740;0.0;0
OBR;202306141750;0.0;0
OBR;202306141800;0.0;0
OBR;202306141810;0.0;0
OBR;202306141820;0.0;0
OBR;202306141830;0.0;0
OBR;202306141840;0.0;0
OBR;202306141850;0.0;0
OBR;202306141900;0.0;0
OBR;202306141910;0.0;0
OBR;202306141920;0.0;0
OBR;202306141930;0.0;0
OBR;202306141940;0.0;0
OBR;202306141950;0.0;0
OBR;202306142000;0.0;0
OBR;202306142010;0.0;0
OBR;202306142020;0.0;0
OBR;202306142030;0.0;0
OBR;202306142040;0.0;0
OBR;202306142050;0.0;0
OBR;202306142100;0.0;0
OBR;202306142110;0.0;0
OBR;202306142120;0.0;0
OBR;202306142130;0.0;0
OBR;202306142140;0.0;0
OBR;202306142150;0.0;0
OBR;202306142200;0.0;0
OBR;202306142210;0.0;0
OBR;202306142220;0.0;0
OBR;202306142230;0.0;0
OBR;202306142240;0.0;0
OBR;202306142250;0.0;0
OBR;202306142300;0.0;0
OBR;202306142310;0.0;0
OBR;202306142320;0.0;0
OBR;202306142330;0.0;0
OBR;202306142340;0.0;0
OBR;202306142350;0.0;0
OBR;202306150000;0.0;0
OBR;202306150010;0.0;0
OBR;202306150020;0.0;0
OBR;202306150030;0.0;0
OBR;202306150040;0.0;0
OBR;202306150050;0.0;0
OBR;202306150100;0.0;0
OBR;202306150110;0.0;0
OBR;202306150120;0.0;0
OBR;202306150130;0.0;0
OBR;202306150140;0.0;0
OBR;202306150150;0.0;0
OBR;202306150200;0.0;0
OBR;202306150210;0.0;0
OBR;202306150220;0.0;0
OBR;202306150230;0.0;0
OBR;202306150240;0.0;0
OBR;202306150250;0.0;0
OBR;202306150300;0.0;0
OBR;202306150310;0.0;0
OBR;202306150320;0.0;0
OBR;202306150330;0.0;0
OBR;202306150340;0.0;0
OBR;202306150350;0.0;0
OBR;202306150400;0.0;0
OBR;202306150410;0.0;0
OBR;202306150420;0.0;0
OBR;202306150430;0.0;0
OBR;202306150440;0.0;0
OBR;202306150450;0.0;0
OBR;202306150500;0.0;0
OBR;202306150510;0.0;0
OBR;202306150520;0.0;0
OBR;202306150530;0.0;0
OBR;202306150540;0.0;0
OBR;202306150550;0.0;0
OBR;202306150600;0.0;0
OBR;202306150610;0.0;0
OBR;202306150620;0.0;0
OBR;202306150630;0.0;0
OBR;202306150640;0.0;0
OBR;202306150650;0.0;0
OBR;202306150700;0.0;0
OBR;202306150710;0.0;0
OBR;202306150720;0.0;0
OBR;202306150730;0.0;0
OBR;202306150740;0.0;0
OBR;202306150750;0.0;0
OBR;202306150800;0.0;0
OBR;202306150810;0.0;0
OBR;202306150820;0.0;-
OBR;202306150830;0.0;-
OBR;202306150840;0.0;-
OBR;202306150850;0.0;-
OBR;202306150900;0.0;-
OBR;202306150910;0.0;0
OBR;202306150920;0.0;0
OBR;202306150930;0.0;0
OBR;202306150940;0.0;0
OBR;202306150950;0.0;0
OBR;202306151000;0.0;0
OBR;202306151010;0.0;0
OBR;202306151020;0.0;0
OBR;202306151030;0.0;0
OBR;202306151040;0.0;0
OBR;202306151050;0.0;0
OBR;202306151100;0.0;0
OBR;202306151110;0.0;0
OBR;202306151120;0.0;0
OBR;202306151130;0.0;0
OBR;202306151140;0.0;0
OBR;202306151150;0.0;0
OBR;202306151200;0.0;0
OBR;202306151210;0.0;0
OBR;202306151220;0.0;0
OBR;202306151230;0.0;0
OBR;202306151240;0.0;0
OBR;202306151250;0.0;0
OBR;202306151300;0.0;0
OBR;202306151310;0.0;0
OBR;202306151320;0.0;0
OBR;202306151330;0.0;0
OBR;202306151340;0.0;0
OBR;202306151350;0.0;0
OBR;202306151400;0.0;0
OBR;202306151410;0.0;0
OBR;202306151420;0.0;0
OBR;202306151430;0.0;0
OBR;202306151440;0.0;0
OBR;202306151450;0.0;0
OBR;202306151500;0.0;0
OBR;202306151510;0.0;0
OBR;202306151520;0.0;0
OBR;202306151530;0.0;0
OBR;202306151540;0.0;0
OBR;202306151550;0.0;0
OBR;202306151600;0.0;0
OBR;202306151610;0.0;0
OBR;202306151620;0.0;0
OBR;202306151630;0.0;0
OBR;202306151640;0.0;0
OBR;202306151650;0.0;0
OBR;202306151700;0.0;0
OBR;202306151710;0.0;0
OBR;202306151720;0.0;0
OBR;202306151730;0.0;0
OBR;202306151740;0.0;0
OBR;202306151750;0.0;0
OBR;202306151800;0.0;0
OBR;202306151810;0.0;0
OBR;202306151820;0.0;0
OBR;202306151830;0.0;0
OBR;202306151840;0.0;0
OBR;202306151850;0.0;0
OBR;202306151900;0.0;0
OBR;202306151910;0.0;0
OBR;202306151920;0.0;0
