 

stn;time;rre150z0
CHU;202007040530;0.0
CHU;202007040540;0.0
CHU;202007040550;0.0
CHU;202007040600;0.0
CHU;202007040610;0.0
CHU;202007040620;0.0
CHU;202007040630;0.0
CHU;202007040640;0.0
CHU;202007040650;0.0
CHU;202007040700;0.0
CHU;202007040710;0.0
CHU;202007040720;0.0
CHU;202007040730;0.0
CHU;202007040740;0.0
CHU;202007040750;0.0
CHU;202007040800;0.0
CHU;202007040810;0.0
CHU;202007040820;0.0
CHU;202007040830;0.0
CHU;202007040840;0.0
CHU;202007040850;0.0
CHU;202007040900;0.0
CHU;202007040910;0.0
CHU;202007040920;0.0
CHU;202007040930;0.0
CHU;202007040940;0.0
CHU;202007040950;0.0
CHU;202007041000;0.0
CHU;202007041010;0.0
CHU;202007041020;0.0
CHU;202007041030;0.0
CHU;202007041040;0.0
CHU;202007041050;0.0
CHU;202007041100;0.0
CHU;202007041110;0.0
CHU;202007041120;0.0
CHU;202007041130;0.0
CHU;202007041140;0.0
CHU;202007041150;0.0
CHU;202007041200;0.0
CHU;202007041210;0.0
CHU;202007041220;0.0
CHU;202007041230;0.0
CHU;202007041240;0.0
CHU;202007041250;0.0
CHU;202007041300;0.0
CHU;202007041310;0.0
CHU;202007041320;0.0
CHU;202007041330;0.0
CHU;202007041340;0.0
CHU;202007041350;0.0
CHU;202007041400;0.0
CHU;202007041410;0.0
CHU;202007041420;0.0
CHU;202007041430;0.0
CHU;202007041440;0.0
CHU;202007041450;0.0
CHU;202007041500;0.0
CHU;202007041510;0.0
CHU;202007041520;0.0
CHU;202007041530;0.0
CHU;202007041540;0.0
CHU;202007041550;0.0
CHU;202007041600;0.0
CHU;202007041610;0.0
CHU;202007041620;0.0
CHU;202007041630;0.0
CHU;202007041640;0.0
CHU;202007041650;0.0
CHU;202007041700;0.0
CHU;202007041710;0.0
CHU;202007041720;0.0
CHU;202007041730;0.0
CHU;202007041740;0.0
CHU;202007041750;0.0
CHU;202007041800;0.0
CHU;202007041810;0.0
CHU;202007041820;0.0
CHU;202007041830;0.0
CHU;202007041840;0.0
CHU;202007041850;0.0
CHU;202007041900;0.0
CHU;202007041910;0.0
CHU;202007041920;0.0
CHU;202007041930;0.0
CHU;202007041940;0.0
CHU;202007041950;0.0
CHU;202007042000;0.0
CHU;202007042010;0.0
CHU;202007042020;0.0
CHU;202007042030;0.0
CHU;202007042040;0.0
CHU;202007042050;0.0
CHU;202007042100;0.0
CHU;202007042110;0.0
CHU;202007042120;0.0
CHU;202007042130;0.0
CHU;202007042140;0.0
CHU;202007042150;0.0
CHU;202007042200;0.0
CHU;202007042210;0.0
CHU;202007042220;0.0
CHU;202007042230;0.0
CHU;202007042240;0.0
CHU;202007042250;0.0
CHU;202007042300;0.0
CHU;202007042310;0.0
CHU;202007042320;0.0
CHU;202007042330;0.0
CHU;202007042340;0.0
CHU;202007042350;0.0
CHU;202007050000;0.0
CHU;202007050010;0.0
CHU;202007050020;0.0
CHU;202007050030;0.0
CHU;202007050040;0.0
CHU;202007050050;0.0
CHU;202007050100;0.0
CHU;202007050110;0.0
CHU;202007050120;0.0
CHU;202007050130;0.0
CHU;202007050140;0.0
CHU;202007050150;0.0
CHU;202007050200;0.0
CHU;202007050210;0.0
CHU;202007050220;0.0
CHU;202007050230;0.0
CHU;202007050240;0.0
CHU;202007050250;0.0
CHU;202007050300;0.0
CHU;202007050310;0.0
CHU;202007050320;0.0
CHU;202007050330;0.0
CHU;202007050340;0.0
CHU;202007050350;0.0
CHU;202007050400;0.0
CHU;202007050410;0.0
CHU;202007050420;0.0
CHU;202007050430;0.0
CHU;202007050440;0.0
CHU;202007050450;0.0
CHU;202007050500;0.0
CHU;202007050510;0.0
CHU;202007050520;0.0
CHU;202007050530;0.0
CHU;202007050540;0.0
CHU;202007050550;0.0
CHU;202007050600;0.0
CHU;202007050610;0.0
CHU;202007050620;0.0
CHU;202007050630;0.0
CHU;202007050640;0.0
CHU;202007050650;0.0
CHU;202007050700;0.0
CHU;202007050710;0.0
CHU;202007050720;0.0
CHU;202007050730;0.0
CHU;202007050740;0.0
CHU;202007050750;0.0
CHU;202007050800;0.0
CHU;202007050810;0.0
CHU;202007050820;0.0
CHU;202007050830;0.0
CHU;202007050840;0.0
CHU;202007050850;0.0
CHU;202007050900;0.0
CHU;202007050910;0.0
CHU;202007050920;0.0
CHU;202007050930;0.0
CHU;202007050940;0.0
CHU;202007050950;0.0
CHU;202007051000;0.0
CHU;202007051010;0.0
CHU;202007051020;0.0
CHU;202007051030;0.0
CHU;202007051040;0.0
CHU;202007051050;0.0
CHU;202007051100;0.0
CHU;202007051110;0.0
CHU;202007051120;0.0
CHU;202007051130;0.0
CHU;202007051140;0.0
CHU;202007051150;0.0
CHU;202007051200;0.0
CHU;202007051210;0.0
CHU;202007051220;0.0
CHU;202007051230;0.0
CHU;202007051240;0.0
CHU;202007051250;0.0
CHU;202007051300;0.0
CHU;202007051310;0.0
CHU;202007051320;0.0
CHU;202007051330;0.0
CHU;202007051340;0.0
CHU;202007051350;0.0
CHU;202007051400;0.0
CHU;202007051410;0.0
CHU;202007051420;0.0
CHU;202007051430;0.0
CHU;202007051440;0.0
CHU;202007051450;0.0
CHU;202007051500;0.0
CHU;202007051510;0.0
CHU;202007051520;0.0
CHU;202007051530;0.0
CHU;202007051540;0.0
CHU;202007051550;0.0
CHU;202007051600;0.0
CHU;202007051610;0.0
CHU;202007051620;0.0
CHU;202007051630;0.0
CHU;202007051640;0.0
CHU;202007051650;0.0
CHU;202007051700;0.0
CHU;202007051710;0.0
CHU;202007051720;0.0
CHU;202007051730;0.0
CHU;202007051740;0.0
CHU;202007051750;0.0
CHU;202007051800;0.0
CHU;202007051810;0.0
CHU;202007051820;0.0
CHU;202007051830;0.0
CHU;202007051840;0.0
CHU;202007051850;0.0
CHU;202007051900;0.0
CHU;202007051910;0.0
CHU;202007051920;0.0
CHU;202007051930;0.0
CHU;202007051940;0.0
CHU;202007051950;0.0
CHU;202007052000;0.0
CHU;202007052010;0.0
CHU;202007052020;0.0
CHU;202007052030;0.0
CHU;202007052040;0.0
CHU;202007052050;0.0
CHU;202007052100;0.0
CHU;202007052110;0.0
CHU;202007052120;0.0
CHU;202007052130;0.0
CHU;202007052140;0.0
CHU;202007052150;0.0
CHU;202007052200;0.0
CHU;202007052210;0.0
CHU;202007052220;0.0
CHU;202007052230;0.0
CHU;202007052240;0.0
CHU;202007052250;0.0
CHU;202007052300;0.0
CHU;202007052310;0.0
CHU;202007052320;0.0
CHU;202007052330;0.0
CHU;202007052340;0.0
CHU;202007052350;0.0
CHU;202007060000;0.0
CHU;202007060010;0.0
CHU;202007060020;0.0
CHU;202007060030;0.0
CHU;202007060040;0.0
CHU;202007060050;0.0
CHU;202007060100;0.0
CHU;202007060110;0.0
CHU;202007060120;0.0
CHU;202007060130;0.0
CHU;202007060140;0.0
CHU;202007060150;0.0
CHU;202007060200;0.0
CHU;202007060210;0.0
CHU;202007060220;0.0
CHU;202007060230;0.0
CHU;202007060240;0.0
CHU;202007060250;0.0
CHU;202007060300;0.0
CHU;202007060310;0.0
CHU;202007060320;0.0
CHU;202007060330;0.0
CHU;202007060340;0.0
CHU;202007060350;0.0
CHU;202007060400;0.0
CHU;202007060410;0.0
CHU;202007060420;0.0
CHU;202007060430;0.0
CHU;202007060440;0.0
CHU;202007060450;0.0
CHU;202007060500;0.0
CHU;202007060510;0.0
CHU;202007060520;0.0
CHU;202007060530;0.0
CHU;202007060540;0.0
CHU;202007060550;0.0
CHU;202007060600;0.0
CHU;202007060610;0.0
CHU;202007060620;0.0
CHU;202007060630;0.0
CHU;202007060640;0.0
CHU;202007060650;0.0
CHU;202007060700;0.0
CHU;202007060710;0.0
CHU;202007060720;0.0
CHU;202007060730;0.0
CHU;202007060740;0.0
CHU;202007060750;0.0
CHU;202007060800;0.0
CHU;202007060810;0.0
CHU;202007060820;0.0
CHU;202007060830;0.0
CHU;202007060840;0.0
CHU;202007060850;0.0
CHU;202007060900;0.0
CHU;202007060910;0.0
CHU;202007060920;0.0
CHU;202007060930;0.0
CHU;202007060940;0.0
CHU;202007060950;0.0
CHU;202007061000;0.0
CHU;202007061010;0.0
CHU;202007061020;0.0
CHU;202007061030;0.0
CHU;202007061040;0.0
CHU;202007061050;0.0
CHU;202007061100;0.0
CHU;202007061110;0.0
CHU;202007061120;0.0
CHU;202007061130;0.0
CHU;202007061140;0.0
CHU;202007061150;0.0
CHU;202007061200;0.0
CHU;202007061210;0.0
CHU;202007061220;0.0
CHU;202007061230;0.0
CHU;202007061240;0.0
CHU;202007061250;0.0
CHU;202007061300;0.0
CHU;202007061310;0.0
CHU;202007061320;0.0
CHU;202007061330;0.0
