datetime,valid,discharge(L/min),temperature(C),precipitation(mm)
2020-07-13 13:00:00+00:00,False,,21.383333333333336,0.0
2020-07-13 14:00:00+00:00,False,,21.083333333333332,0.0
2020-07-13 15:00:00+00:00,False,,21.150000000000002,0.0
2020-07-13 16:00:00+00:00,False,,20.259999999999998,0.0
2020-07-13 17:00:00+00:00,False,,19.316666666666666,0.0
2020-07-13 18:00:00+00:00,False,,17.766666666666666,0.0
2020-07-13 19:00:00+00:00,False,,17.466666666666665,0.0
2020-07-13 20:00:00+00:00,False,,16.900000000000002,0.0
2020-07-13 21:00:00+00:00,False,,15.666666666666666,0.0
2020-07-13 22:00:00+00:00,False,,15.299999999999999,0.0
2020-07-13 23:00:00+00:00,False,,14.633333333333333,0.0
2020-07-14 00:00:00+00:00,False,,14.566666666666668,0.0
2020-07-14 01:00:00+00:00,False,,14.716666666666667,0.0
2020-07-14 02:00:00+00:00,False,,13.533333333333333,0.0
2020-07-14 03:00:00+00:00,False,,13.283333333333333,0.0
2020-07-14 04:00:00+00:00,False,,13.566666666666668,0.0
2020-07-14 05:00:00+00:00,False,,15.366666666666667,0.0
2020-07-14 06:00:00+00:00,False,,16.1,0.0
2020-07-14 07:00:00+00:00,False,,17.516666666666666,0.0
2020-07-14 08:00:00+00:00,False,,18.7,0.0
2020-07-14 09:00:00+00:00,False,,19.849999999999998,0.0
2020-07-14 10:00:00+00:00,False,,19.95,0.0
2020-07-14 11:00:00+00:00,False,,21.333333333333332,0.0
2020-07-14 12:00:00+00:00,False,,20.666666666666668,0.0
2020-07-14 13:00:00+00:00,False,,21.3,0.0
2020-07-14 14:00:00+00:00,False,,22.166666666666668,0.0
2020-07-14 15:00:00+00:00,False,,22.366666666666664,0.0
2020-07-14 16:00:00+00:00,False,,21.96666666666667,0.0
2020-07-14 17:00:00+00:00,False,,19.75,0.0
2020-07-14 18:00:00+00:00,False,,18.05,0.0
2020-07-14 19:00:00+00:00,False,,16.95,0.0
2020-07-14 20:00:00+00:00,False,,16.983333333333334,0.0
2020-07-14 21:00:00+00:00,False,,17.466666666666665,0.0
2020-07-14 22:00:00+00:00,False,,17.383333333333333,0.0
2020-07-14 23:00:00+00:00,False,,17.25,0.0
2020-07-15 00:00:00+00:00,False,,18.583333333333332,0.0
2020-07-15 01:00:00+00:00,False,,17.983333333333334,0.0
2020-07-15 02:00:00+00:00,False,,16.45,0.0
2020-07-15 03:00:00+00:00,False,,16.0,0.0
2020-07-15 04:00:00+00:00,False,,16.633333333333336,0.0
2020-07-15 05:00:00+00:00,False,,16.366666666666667,0.0
2020-07-15 06:00:00+00:00,False,,17.583333333333332,0.0
2020-07-15 07:00:00+00:00,False,,18.349999999999998,0.0
2020-07-15 08:00:00+00:00,False,,18.75,0.0
2020-07-15 09:00:00+00:00,False,,18.833333333333332,0.0
2020-07-15 10:00:00+00:00,False,,18.900000000000002,0.0
2020-07-15 11:00:00+00:00,False,,18.533333333333335,0.0
2020-07-15 12:00:00+00:00,False,,18.849999999999998,0.0
2020-07-15 13:00:00+00:00,False,,18.7,0.0
2020-07-15 14:00:00+00:00,False,,16.616666666666667,0.2
2020-07-15 15:00:00+00:00,False,,15.816666666666668,1.4
2020-07-15 16:00:00+00:00,False,,16.099999999999998,0.0
2020-07-15 17:00:00+00:00,False,,15.183333333333332,0.0
2020-07-15 18:00:00+00:00,False,,14.283333333333333,1.0
2020-07-15 19:00:00+00:00,False,,13.783333333333333,2.0
2020-07-15 20:00:00+00:00,False,,13.850000000000001,0.8
2020-07-15 21:00:00+00:00,False,,13.666666666666666,0.0
2020-07-15 22:00:00+00:00,False,,13.766666666666666,0.0
2020-07-15 23:00:00+00:00,False,,13.683333333333332,0.0
2020-07-16 00:00:00+00:00,False,,13.4,0.3
2020-07-16 01:00:00+00:00,False,,13.183333333333332,0.4
2020-07-16 02:00:00+00:00,False,,13.233333333333334,0.3
2020-07-16 03:00:00+00:00,False,,13.133333333333333,0.7
2020-07-16 04:00:00+00:00,False,,13.216666666666667,1.5
2020-07-16 05:00:00+00:00,False,,13.299999999999999,1.1
2020-07-16 06:00:00+00:00,False,,13.5,2.5
2020-07-16 07:00:00+00:00,False,,13.566666666666668,4.6
2020-07-16 08:00:00+00:00,False,,13.816666666666668,0.2
2020-07-16 09:00:00+00:00,False,,14.350000000000001,0.9
2020-07-16 10:00:00+00:00,False,,14.5,0.0
2020-07-16 11:00:00+00:00,False,,15.366666666666667,0.2
2020-07-16 12:00:00+00:00,False,,15.799999999999999,0.1
2020-07-16 13:00:00+00:00,False,,15.666666666666666,0.0
2020-07-16 14:00:00+00:00,False,,14.983333333333334,0.0
2020-07-16 15:00:00+00:00,False,,14.383333333333333,0.6
2020-07-16 16:00:00+00:00,False,,13.766666666666666,2.7
2020-07-16 17:00:00+00:00,False,,13.700000000000001,2.5
2020-07-16 18:00:00+00:00,False,,13.549999999999999,3.2
2020-07-16 19:00:00+00:00,False,,13.316666666666668,4.5
2020-07-16 20:00:00+00:00,False,,13.233333333333334,4.1
2020-07-16 21:00:00+00:00,False,,13.199999999999998,3.5
2020-07-16 22:00:00+00:00,False,,13.083333333333334,2.7
2020-07-16 23:00:00+00:00,False,,12.883333333333333,3.5
2020-07-17 00:00:00+00:00,False,,12.65,3.8
2020-07-17 01:00:00+00:00,False,,12.649999999999999,1.7
2020-07-17 02:00:00+00:00,False,,12.633333333333333,0.6
2020-07-17 03:00:00+00:00,False,,12.683333333333332,0.7
2020-07-17 04:00:00+00:00,False,,12.816666666666668,1.3
2020-07-17 05:00:00+00:00,False,,12.766666666666666,1.0
2020-07-17 06:00:00+00:00,False,,12.883333333333333,4.7
2020-07-17 07:00:00+00:00,False,,13.0,1.0
2020-07-17 08:00:00+00:00,False,,13.366666666666667,0.7
2020-07-17 09:00:00+00:00,False,,14.5,0.2
2020-07-17 10:00:00+00:00,False,,15.299999999999999,0.0
2020-07-17 11:00:00+00:00,False,,15.683333333333332,0.0
2020-07-17 12:00:00+00:00,False,,16.166666666666668,0.0
2020-07-17 13:00:00+00:00,False,,15.566666666666668,0.1
